name,country,address1,address2,address3,city,state,zip,country,phone,website,email,Provider
Agency For Science Technology & Research (A*STAR),Singapore,Fusionopolis Way,,,,,138632,Singapore,+65 6826 6111,,,no
Aalborg University,Denmark,Fredrik Bajers Vej 5,,,Aalborg,,9220,Denmark,,,,no
Aarhus University,Denmark,Midtbyen,,,Aarhus,,,Denmark,,,,no
Aarhus University Hospital,Denmark,,,,,,,Denmark,,,,no
Abbott Biotherapeutics Corporation,United States of America,1500 Seaport Blvd,,,Redwood City,CA,94063,United States of America,,,,yes
Aga Khan University Hospital,Pakistan,Stadium Rd,,,Karachi,,74800,Pakistan,+92 21 34930051,,,no
AgResearch Limited,New Zealand,Ruakura Research Centre,East Street,,Hamilton,,3214,New Zealand,,,,no
Agricultural Genetic Engineering Research Institute (AGERI),Egypt,,,,,,,Egypt,,,,yes
Aitbiotech Pte. Ltd.,Singapore,26 Ayer Rajah Crescent,,,,,139944,Singapore,+65 6778 6822,,,yes
Alacris Theranostics GmbH,Germany,Universit_tsmedizin Berlin,,,Berlin,,14195,Germany,,,,yes
All India Institute of Medical Sciences (AIIMS),India,Ansari Nagar East,Gautam Nagar,,New Delhi,DL,110029,India,+91 11 2658 8500,aiims.edu,,no
Almac Group,United Kingdom,Almac House,20 Seagoe Industrial Estate,Craigavon BT63 5QD,,,,United Kingdom,+44 (0) 28 3833 2200,,info@almacgroup.com,no
Ambry Genetics,United States of America,15 Argonaut,,,Aliso Viejo,CA,92656,United States of America,(949) 900-5500,ambrygen.com,,no
Amity University Noida Campus,India,Sector 125,,,Noida,,UP 201303,India,+91 120 244 5252,amity.edu,,no
Anand Agricultural University,India,Anand,,,,GJ,,India,,,,no
"AnaptysBio, Inc.",United States of America,10421 Pacific Center Court #200,,,San Diego,CA,92121,United States of America,(858) 362-6295,anaptysbio.com,,no
Animal Health Trust,United Kingdom,Lanwades Park,Kentford,Newmarket,Suffolk CB8 7UU,,,United Kingdom,+44 1638 751000,aht.org.uk,,no
Annamalai University,India,Chidambaram,,,Tamil Nadu,,,India,+91 4144 238 248,annamalaiuniversity.ac.in,,no
Arizona State University,United States of America,411 North Central Avenue,,,Phoenix,AZ,85004,United States of America,(480) 965-2100,asu.edu,,yes
AROS Applied Biotechnology AS,Denmark,Science Park Skejby,Brendstrupgaardvej 102,,8200 Aarhus N,,,Denmark,+45 7027-1170,,info@arosab.com,yes
Arpeggi Inc,United States of America,3600 Bee Cave Rd,,,Austin,TX,78746,United States of America,512-298-1807 ext. 101,,,no
"ASCIDEA Computational Biology Solutions, S.L.",Spain,C/ Almogavers 165 Office #205,,,Barcelona,,,Spain,34 935516280_,,info@ascidea.com,yes
"ASGPB, University of Hawaii at Manoa",United States of America,2565 McCarthy Mall Keller 319,,,Honolulu,HI,96822,United States of America,808-956-0924,,asgpb@hawaii.edu,yes
Assay Depot,United States of America,11180 Roselle Street,,,San Diego,CA,92121,United States of America,(877) 644-3044,assaydepot.com,,no
AssureRx Health Inc,United States of America,6030 South Mason Montgomery Road,,,Mason,OH,45040,United States of America,(513) 234-0510,assurerxhealth.com,,no
"Atreca, Inc.",United States of America,75 Shoreway Road,Suite C,,San Carlos,CA,94070-2727,United States of America,650.595.2595,,info@atreca.com,no
Danish Academy of Technical Sciences (ATV),Denmark,Lundtoftevej 266,2800 Kgs,,Lyngby,,,Denmark,+45 45 88 13 11,www.atv.dk,atvmail@atv.dk,no
Auburn University,United States of America,226 Thach Concourse,,,Auburn,AL,36849,United States of America,(334) 844-4000,auburn.edu,,no
Aurora Biomed Inc.,Canada,1001 East Pender St,,,Vancouver,BC V6A 1W2,,Canada,+1 604-215-8700,aurorabiomed.com,,no
Australian National University,Australia,Barry Dr,,,Acton Australian Capital Territory 0200,,,Australia,+61 2 6125 5111,anu.edu.au,,no
AIT Austrian Institute of Technology GmbH,Austria,Donau-City-Stra_e 1,,,1220 Vienna,,,Austria,,,office@ait.ac.at,no
Axeq Technologies,United States of America,,,,,,,United States of America,,,,yes
AZTI-Tecnalia,Spain,,,,,,,Spain,,,,no
Baseclear B.V.,Netherlands,Einsteinweg 5,2333 CC Leiden,,Nederland,,,Netherlands,+31 71 523 3917,baseclear.com,info@baseclear.com,yes
